"HMDB.ID","Sub_Class","Class"
"HMDB00528","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00529","Fatty acids and conjugates","Fatty Acyls"
"HMDB00530","Estrane steroids","Steroids and steroid derivatives"
"HMDB00531","Fatty acids and conjugates","Fatty Acyls"
"HMDB00532","Amino acids peptides and analogues","Carboxylic acids and derivatives"
"HMDB00534","Ergostane steroids","Steroids and steroid derivatives"
"HMDB00535","Fatty acids and conjugates","Fatty Acyls"
"HMDB00536","Purine ribonucleotides","Purine nucleotides"
"HMDB00538","Purine ribonucleotides","Purine nucleotides"
"HMDB00539","Carbohydrates and carbohydrate conjugates","Organooxygen compounds"
"HMDB00540","Androstane steroids","Steroids and steroid derivatives"
"HMDB00541","Bile acids alcohols and derivatives","Steroids and steroid derivatives"
"HMDB00542","Purines and purine derivatives","Imidazopyrimidines"
"HMDB00543","","Benzene and substituted derivatives"
"HMDB00544","Pyrimidines and pyrimidine derivatives","Diazines"
