"P7122","P7147","P7150","P7153","P7184","P7238","P7406","P7408","P7421","P7445","P7486","P7547","P7658","P7662","P7744","P7759","P7791","P7843","P7847","P7855","P7858","P7860","P7861","P7862","P7870","P7874","P7875","P7879","P7899","P7904","P7906","P7908","P7909","P7910","P7911","P7912","P7938","P7941","P7947","P7948","P7955","P7971","P7989","P8095","P8226","P8244","P8264","P8283","P8332","P8336","P8361","P8374","P8377","P8406","P8452","P8462","P8466","P8467","P8475","P8483","P8485","P8496","P8523","P8534","P8537","P8550","P8564","P8565","P8573","P8577","P8589","P8591","P8592","P8624","P8629","P8675","P8683","P8746","P8749","P8753","P8754","P8758","P8764","P8765","P8774","P8776","P8783","P8784","P8788","P8789","P8794","P8800","P8802","P8806","P8807","P8841","P8843","P8847","P8878","P8892","P9126","P9148"
38066,31486,1311,60799,111,749038,213808,43895,322951,197657,409970,NA,229776,5141,436,88243,220740,78745,60809,NA,NA,NA,3000,575760,11108,1245,107300,13413,33,195934,141350,NA,5565,20026,34094,572,12964,89053,70943,3685,7014,685585,121041,612432,NA,NA,26085,3219,43118,NA,NA,124082,413,NA,379685,199673,405526,119884,17771,1554,2544,204133,26705,186599,NA,556912,196215,125167,473567,1973,11661,56122,228054,47043,937432,679745,15460,419134,586134,110,545,491726,98628,3483,NA,NA,NA,10540,5436,4194,261505,15852,NA,NA,330772,193005,NA,24946,3191,422579,4669,NA
31415,611957,122483,NA,36078,NA,NA,NA,4710,NA,270,NA,2472,489333,228864,16219,2193,NA,512837,982036,147957,278059,2414279,459282,53116,1114842,NA,4651282,285344,1216991,NA,23318,631253,1021123,85201,712066,NA,NA,NA,NA,2378796,NA,NA,NA,1579,120001,NA,669,346653,NA,257555,4100,NA,700,NA,NA,NA,271289,284110,NA,NA,44365,NA,NA,NA,1637,12134,NA,287435,600505,340029,NA,1725,150919,NA,NA,NA,NA,15,578,5917008,NA,200823,2848932,10519,139070,31301,274895,NA,1661281,105573,521961,662813,NA,NA,NA,NA,NA,NA,NA,NA,1108
NA,NA,68227,NA,NA,NA,NA,3242,1353,NA,15948,4683,2623,5342,100335,492290,1065,NA,1486679,NA,NA,2175,48319,28779,146087,1283,23238,15559893,38077,8568,NA,1613,NA,91,14598,12303,1126,6379,137791,3626,35785,1430,NA,NA,62227,9851,NA,386051,13713,NA,607927,11073,368,16454,NA,362,1513983,792,1960,NA,NA,2604,NA,NA,26705,NA,375,NA,1863,16023,26957,4459477,3941,4257,NA,2497,NA,NA,NA,4630,5353,NA,1257162,9701,36324,NA,6708,6209,577189,19407,6269,822,NA,NA,22399,32803,35781,141278,40136,9068,578875,741079
NA,10875,NA,31277,31958,72678,171088,NA,4774,28569,5304,26348,81181,NA,NA,10142,28337,30047,33699,NA,66730,24353,22688,17082,2127,4323,45703,37687,189577,6054,366496,10349,NA,27829,35939,NA,13257,10057,38630,NA,NA,110294,22244,65052,142238,15303,27978,48625,39578,4995,5887,5095,76208,22618,8832,7556,15572,NA,4487,1638,25224,10192,23085,21621,NA,NA,6337,6813,73919,10167,29938,11106,NA,37809,1466,49603,287396,49981,15866,35354,48235,NA,333190,25824,131499,50226,9994,90892,166702,62077,NA,6797,17896,NA,16927,NA,28048,NA,15538,25095,NA,26859
429,28576,625,609435,1628,39530,11691,712,3222,2784,488694,12077,19902,1805,NA,2812,785,NA,25362,1951,3048,6864,6222,32392,1017,159,10156,14793,4626,3318,1489,7501,NA,3793,3129,4804,26018,7382,511,499679,2024,4536,24561,83,516336,4505,80137,20974,21548,2067,350,NA,9968,12348,NA,144,NA,1920,NA,13596,1662,78477,12446,4674,4268,323,240406,21738,294420,NA,12968,4305,293132,1373,653,17778,24045,30263,5866,7870,28435,47167,2606,20712,11473,8152,4899,3907,62828,36775,28542,8958,34009,6771,20213,775,NA,263602,26281,11848,9706,2108
167112,318749,49187,1632368,378619,388855,125397,416287,79231,123350,429787,377222,254037,210387,74490,63257,242259,1100187,684949,17226,187734,119805,102564,257798,289448,139428,434647,146750,248198,26250,337122,236241,85536,341913,111787,106705,568779,259565,165544,540980,263138,49842,37528,373175,241923,326610,200337,123273,142832,313046,194847,289361,225355,283123,NA,518518,213468,182953,330090,177636,381266,231331,3257,41033,64596,48273,86800,304866,201290,224781,1390215,501970,106927,124900,1503,520246,2084401,47082,211959,547621,119263,2275573,304800,313075,165996,1439397,86175,351921,92397,115785,331774,859347,59173,180872,190008,NA,421467,105522,288914,110000,10264,74605
83264,12,105139,21193,NA,NA,60929,3719,1468,NA,9,NA,1447,88686,321330,NA,NA,NA,900989,NA,4085,NA,1301590,1344,335630,NA,106694,NA,6360,4,27510,30119,9543954,NA,NA,2044,37,2071,NA,NA,1126,NA,NA,NA,NA,4109,NA,13308,12190,35,552,16357,71384,NA,NA,NA,4231,NA,NA,NA,NA,NA,NA,1797,2,NA,22540,NA,NA,4925,11451,NA,60011,7776,NA,50,3103,NA,NA,1098,4583,NA,14,4168,19191,NA,54149,86615,NA,12796056,3323,177453,NA,NA,22,NA,NA,613829,NA,NA,NA,NA
NA,147468,23695,81652,NA,3242,NA,3999,124955,NA,1036413,NA,1213,199056,52995,532555,NA,73679,423942,NA,372228,NA,14533,32663,549453,22352,3233,385071,212575,43020,NA,152125,3701,38575,73688,38663,NA,NA,128478,22874,NA,NA,NA,NA,NA,63986,NA,648338,66203,NA,237654,16256,NA,336152,NA,11450,1419581,2223,7835,153732,86912,496623,NA,NA,9939,NA,92108,NA,1883065,106840,7969,40175648,13488,4891,NA,3365,NA,NA,NA,204546,52101,NA,2270253,31579,14142,NA,301603,89811,4946004,74425,NA,26311,80010,26472,243956,55943,63047,48962,101512,NA,126401,941955
1290,35590,2299,2216886,3964,10340446,15190344,575566,3535907,4252160,3018813,2720,1159797,NA,3806,1155054,26598,10225010,3962,2039,17170,10159,18609,122469,8391,20246,1369642,2142,2610,429902,2026877,3851,96877,7613,7116594,2823,1154587,218259,607274,NA,727,2877487,7839433,266794,1706669,12435,1986681,NA,124,4745246,1157,4137126,2705,20126,2439956,1794825,1680893,686865,1800563,392,NA,779359,12418,3209415,493363,1400166,5671813,13276339,9671867,614,6250,10823911,14392364,145631,15207134,2257985,1329661,16151993,12765639,4464,5400,7807859,413242,3255,5676,134689,25152,5745,23432,2642,4224222,15395,5324,65498,1252119,4020589,2917,6762,36909,5808803,608097,627984
459370,12089,25421,17165,337,NA,NA,28277,46970,465744,1261,1468,NA,474744,257445,NA,821,124079,55679,NA,3077,307,635,21990,5243,3836,NA,2997,10271,NA,174380,NA,60451,451,NA,13681,3646,181093,199774,17753,NA,NA,NA,NA,NA,32,5189,36692,30224,1417,136696,278326,132526,7837,NA,106134,70446,NA,NA,NA,39922,30264,NA,2556,NA,37988,467,NA,NA,74560,236433,NA,40446,101278,3973,3907,1091287,8161,NA,24346,54373,NA,1536,31683,107778,NA,15502,41006,NA,1475,NA,141426,1150,NA,26483,NA,5622,3755,11871,NA,NA,62468
10351,2680,2207,NA,8024,5296256,60482,549,6913,2078584,20270,1549,4329,3568,18082,935375,5773,1091,12212,3933,12892,8810,12007,9388,5153,7787,15906,11747,8560,7797,111255,305465,6352,8171,77670,6578,13728,18542,15900,328420,3406,13496,40657,1179209,18808,1439,22033,1923,NA,9765,14810,15496,31173,1011,92448,12886,139364,18121,529571,5986,7857,1334365,24515,21327,9984,20932,579243,19616,2132254,16037,20699,2085,15643,6586,256507,19202,NA,NA,NA,290257,NA,357,272,275,2477,255954,NA,691,NA,215,36055,569925,1130,88806,513082,2877,6003,NA,268,678431,283156,2126
4058,9212,3652,276,1233,1,NA,1046,78,77,1305,6358,423,4641,4355,1082,548,27,1877,2494,13,1196,13869,1979,2989,2407,NA,26634,6515,8265,956,999,568,6375,1816,7150,3,42,574,235,196,413,NA,520,NA,15673,NA,7022,66265,44,3447,421,285,105,1356,2385,1925,15,366,433,13021,63,NA,NA,29,23,68,307,103,4170,67,20116,2095,2070,69,1676,694174,NA,1469827,153,18464,49,4542,31816,22994,NA,835,3240,93,29190,120,11,6408,483,12,3,250238,NA,132,845,NA,NA
37892,4042,2848,NA,NA,NA,3,NA,589,NA,NA,NA,111,136059,152312,NA,NA,NA,23848,NA,288,161,5733,NA,12192,1121,NA,NA,4208,7223,38046,NA,12292,NA,NA,1788,NA,1406,NA,NA,NA,NA,NA,NA,100,456,30,2299,19625,NA,NA,1997,85613,NA,NA,NA,6185,NA,NA,4,1309,5075,NA,12013,63396,10271,6390,111,1038,12150,47378,NA,NA,2685,NA,12197,NA,96,NA,242,7229,NA,NA,7708,6277,NA,9580,14467,14231,40453,1,NA,NA,1336,12273,NA,NA,24,8955,NA,1053,70250
18109,622967,8462,73513,43720,8061,11874,21696,64750,3177,19276,5378,213949,400673,211531,20628,62515,24123,15136,680398,122576,56111,58514,70510,2001299,1624184,21920,134589,3197215,543556,868278,76394,2054073,423857,52156,5321570,45062,204830,386783,64139,430775,896910,266997,5440,12232,1142155,1059519,254075,6550001,83312,23257,56733,68786,51408,958390,34799,1779335,20047,30837,11120,7454515,28842,27199,23183,13316,14811,563973,35870,132736,1594276,664335,5548301,168680,34951,310694,36008,24646924,40818,142691746,64477,1014756,16776,358436,2863031,786896,320291,240273,712124,116318,566702,16127,18706,614348,9628,38602,38699,16365553,30673,60403,937,85908,555397
151,1344,689,64,83,119,NA,362,141,354,141,11,2017,4180,2768,287,70,766,1409,4023,151,118,1703,1457,3593,6605,22,7545,7441,1113,846,515,10415,578,110,9153,16,132,637,3029,4480,220,2267,297,NA,29855,12102,2370,63951,186,478,121,341,253,2106,1746,2091,84,45,336,16662,262,NA,NA,911,223,1336,5,1042,5849,1317,2884,113,555,153,1233,31786,NA,1322680,237,12657,562,1184,31905,3109,2863,125,2385,1150,3412,310,135,7444,740,62,81,93704,46,403,3271,209,1592
NA,6799,1108,7928,NA,NA,11006,763,31974,NA,216387,NA,NA,85009,33455,138464,NA,NA,341603,14874,12486,NA,2501,12132,342927,2917,1078,407489,32383,2809,803,788,2827,2660,8559,19947,1012,NA,87906,19760,8163,NA,466,NA,1330,23244,NA,179103,NA,NA,2470,1966,2488,96422,NA,NA,312011,NA,NA,1512,1087,69231,NA,356,NA,NA,51113,NA,62834,34490,7312,3482386,NA,NA,NA,6789,NA,2372,NA,927,25913,NA,375469,1318,32159,76250,41299,11549,573650,7543,1874,NA,12358,807,177588,NA,1423,21227,26212,NA,127071,324193
1427,3552,193,44,389,406,NA,463,263,619,189,25,3699,1696,385,779,271,515,209,2372,220,223,527,440,7862,9404,249,1176,6881,329,427,1043,7242,360,300,25485,9,490,634,2931,942,895,2396,482,NA,514,29819,4638,87052,181,436,104,53,404,479,378,5157,263,174,1486,12890,768,16,NA,78,1166,1597,18,988,3696,367,4422,1460,55,152,5072,14461,NA,2733666,725,12304,67,1931,14026,9183,105,577,63,1213,4143,132,236,2364,1731,182,162,74679,8,414,3176,112,1111
22107,2843,NA,NA,100501,164223,NA,22487,100595,13656,72579,NA,2977,NA,4510,146015,4408,79063,22860,NA,13150,12986,17803,NA,30791,827,64330,NA,54050,81786,22561,24116,NA,12184,35658,24161,25234,62262,3594,588,NA,411797,714,12209,17346,1564,NA,NA,NA,97273,36413,20972,119493,29003,215710,47241,110670,56250,32136,5820,NA,61209,NA,49795,3906,42334,183984,4440,79699,NA,42011,37075,62005,NA,236775,652272,NA,NA,NA,NA,NA,4118,3779,NA,23511,NA,NA,NA,NA,NA,11732,NA,NA,12296,47723,69301,NA,753,NA,204561,NA,766
80533,384494,36885,108676,48868,63273,22661,55677,305914,34235,3054595,296874,5035,191199,414668,829825,19867,69282,31385,182472,42418,38274,66494,9655,35404,84846,310099,185765,34975,39667,80704,538672,187860,79954,21609,29600,246064,92808,45130,238100,539990,43550,357909,20144,11605,12838,14217,41159,7385,16724,70309,331371,171148,13538,106781,57966,3418,353216,354126,3175,16917,1081407,115037,1359163,381648,559889,2663602,579344,7217156,111602,155764,333210,1166902,42203,26263,783,494258,NA,4877,17502,44628,NA,6037,37908,7480,26215,10142,17900,169,39804,43503,26685,95453,17367,115533,143411,18211,3202911,16183,10564,602,5943
15189,NA,5764,NA,27250,3436,NA,3820,6921,NA,5839,NA,21533,41054,302432,NA,132480,5883,1023,NA,22527,235082,39093,7514,582506,NA,279196,3102,14038,NA,4876,8996,NA,3361,46984,NA,53460,36447,NA,2100865,1785,NA,190089,66,153582,1098,87312,NA,NA,114039,5215,1203005,53527,79852,55997,19727,135548,1757,39743,62281,36397,33933,198431,18895,NA,5281,5452,69434,NA,NA,1135,312818,20284,90835,NA,5593,NA,NA,NA,NA,NA,NA,1624,1409,20586,2822,2830,1135,NA,NA,14630,8689,7116,12265,38028,49014,30932,6559,1327,NA,109025,NA
NA,2172,NA,11287,NA,NA,865010,NA,17547,NA,127626,NA,5905,170888,93094,244388,NA,NA,94816,14798,11819,NA,4557,6779,540493,NA,NA,35290,20999,NA,NA,5032,2259,1906,NA,6023,NA,NA,NA,4922,NA,NA,NA,NA,NA,130425,257,41581,NA,NA,1540,NA,NA,162865,NA,NA,443852,NA,1805,2465,1318,34093,NA,NA,NA,NA,24762,NA,44283,61118,NA,512577,NA,6689,NA,NA,NA,4183,NA,1839,NA,13092,331537,1630,10966,21046,115764,62877,310025,2901,NA,340,26094,352,120341,NA,11082,1483,30120,NA,156279,699598
280,93,26,195707,3685,3867279,NA,746701,12324,8741612,NA,27,NA,14692,88,NA,NA,5972728,NA,18894,6849,59,2070,NA,21541,9399,NA,5434,41483,12787,34,5629,16193,3893,4968,7532,372632,5917,2198113,68876,537,61235,2191428,6470205,NA,314,87084,NA,2615,2384576,54491,137701,NA,173,309499,53459,11646,NA,1469,4304167,13306,4739281,42,358631,3684189,40018,751845,1242271,13145,16141,9828,1162822,1810,16307,2002465,609816,82560,345054,1957777,1180146,434,1616025,17,2620,225,291,159577,263,1397,96,6167,4105,357,325363,733264,1142750,2289,959,737,68072,NA,NA
NA,8608,NA,782,NA,21935125,2819,4807,95860,671,8887,3198,NA,33605,12331,8149,NA,6300,2062,22930,17555,NA,4129,20793,NA,12668,8511,768,82869,1468,6264,78394,4320,9113,550,11411,7174,1510436,2552133,479955,NA,4508303,203907,NA,576900,933,6005,NA,8346,201285,2931,168775,NA,NA,1090506,3999,5963,17348,9176,151930,152492,254518,2102,274704,160554,84960,7315070,13011,15767,417,NA,NA,135665,915,2082264,6899,93827,95,151566,118942,NA,856456,283,1030,8548,1614,15134,504,1516,2215,7079,5447,50,443566,91418,553267,13366,895,13660,566129,43251,958569
NA,23604,10,1471,NA,2,NA,6403,NA,NA,21178,2333,16,4,774,4258,2,NA,NA,618,3,NA,NA,NA,NA,89,1686,26,NA,NA,NA,2108,969,11,13,112,3487,265,3,5260,1166,NA,869,43,1150,36,10493,NA,NA,8405,104,517,262,13,1120,103,2,6503,934,NA,NA,31324,335,103482,10038,55656,34732,26407,44504,135,339,2377,28959,11,NA,NA,49,NA,NA,247,NA,NA,NA,NA,NA,NA,NA,810,NA,NA,NA,NA,2735,NA,2017,6335,986,34971,NA,NA,NA,NA
10205,478,NA,NA,157372,295835,NA,3013,31215,354392,84434,NA,176356,1735,25606,72578,672,569337,6454,1403,99242,162731,21671,14290,NA,NA,99054,133,5703,15746,16779,17204,761,10588,24168,1553,99761,965427,584166,2730222,59819,1254004,598618,1538465,4192,NA,86980,NA,NA,210266,36821,201150,60767,823297,1018016,69007,50866,42380,75485,33894,22036,16124,NA,230788,1022613,200413,6524,324064,4022,13334,765,1344101,729,62925,864730,303593,113854,19040,61079,167677,NA,82820,NA,NA,13135,NA,346,NA,NA,816,1050,6123,NA,2576,356588,898211,NA,NA,NA,1074639,NA,18507
271996,954042,102897,740905,62176,86632,NA,48852,149151,161540,2070368,359929,84595,214370,101861,59398,222221,34534,147055,493053,184020,222243,468983,106707,103465,268856,717564,147386,160447,240016,196499,116226,203204,204775,287522,139308,92625,294072,39986,382250,9601,120919,117499,130691,197506,167591,330824,82553,497100,109709,182479,328345,427042,19578,164181,138572,181884,298108,218233,173329,55596,548481,294992,52991,1795638,467901,312998,29064,2141257,95046,201740,232256,508163,265395,18154,657006,2001,95103,166608,756707,89854,739755,185758,184000,317263,228161,1126381,246012,41714,209888,268367,294597,619221,373635,85465,580161,1022217,926018,920990,63813,761768,3533766
NA,145794,16445,12449,5110,99847,41855,8482,68856,NA,85289,14791,20016,NA,NA,167974,427,8326,11933,788,3824,2829,1676,NA,NA,NA,42008,6458,NA,5428,NA,12786,NA,1635,9311,NA,39977,1225,3393,131704,7610,760904,224311,2572,180251,639,149334,NA,5238,351010,4882,NA,1238,36809,36346,NA,NA,11115,NA,289,14890,83047,97959,148649,331256,2017593,280668,100310,582242,NA,1451,NA,154757,NA,24336,NA,243602,35915,22742,569,NA,162098,NA,NA,6397,NA,1766,1950,NA,642,NA,1077,50752,152230,47053,132582,13828,105444,1177,1064,6848,NA
123329,171520,5066087,224874,207200,NA,994,230798,114132,1731594,580160,4235959,297211,18529311,56486,510997,24878,495,12002738,3304155,5243444,90846,1027409,8716098,10101802,2219133,711026,3364740,2659336,184864,210016,588343,10305166,5103904,227244,6818799,94765,692659,4755,253392,8051776,481,NA,49496,34590557,733668,NA,756288,1207740,345,98893,6250623,4616889,195850,NA,423379,52362,333874,1344001,1349,2271289,375533,28371019,288,515740,815243,399568,218556,176104,773834,17432351,1254,406144,142208,NA,634937,4352269,NA,111785,30885,12317968,NA,7125809,5788188,16368975,26551398,30543,37977,14126455,17881696,105076,566989,2616505,33255,15925,93655,327027,470673,534706,229677,1545794,4596267
NA,3845,40779,6086,NA,967,NA,NA,NA,9022,8474,159032,NA,66047,NA,NA,434,NA,43748,56650,116178,NA,5894,106553,43183,20995,7031,4135,8042,NA,NA,9201,29638,31981,NA,44848,538,6823,NA,NA,71167,8267,NA,NA,521914,14047,NA,15231,28329,NA,NA,31362,51482,915,NA,1772,183,NA,13244,NA,5561,1552,387411,NA,583,1010,NA,2250,NA,2359,338498,1329,NA,NA,NA,1108,24310,NA,2784,NA,343951,NA,79945,71770,484536,1147941,NA,NA,602497,484729,2198,47415,37117,924,NA,2092,4991,24083,18218,NA,16387,33501
618,107279,75432,70472,55476,NA,108599,47469,9856,839,8192,22309,80298,1239502,2710,4902,55034,NA,76804,43342,49024,616,3569,242750,535190,42333,11596,54449,87932,3301,18392,68265,655586,133884,468,138988,79740,9105,NA,NA,134393,NA,47007,NA,33360,118404,126143,1370,42952,949,3290,1355511,147372,26666,NA,NA,36584,8454,67693,1347,201182,2886,40051,76146,NA,NA,NA,36166,4766,3104,793399,17624,1948,11982,NA,6418,62065,431146,181079,80346,119891,352803,88862,94795,332083,239178,29169,41840,424365,441643,143053,107068,28734,136863,79595,19691,77225,155239,164420,881,1243,NA
8,1900,8025,NA,NA,3359,NA,NA,NA,17,3,5834,14,3011,4399,11253,57088,NA,1648,NA,1650,7,15,851,162,387,16,8,4971,874,NA,NA,516,241,4,107,1153,NA,1079,NA,22625,71167,NA,NA,7699,140,NA,228,101,NA,NA,241,NA,NA,NA,37,49607,22,NA,NA,88,NA,44197,NA,37261,NA,195,5,3415,NA,5950,3465,NA,15,NA,NA,31,NA,NA,NA,22165,27207,25576,3335,4058,31233,NA,NA,4093,12922,1104,NA,76,21617,NA,NA,NA,23835,NA,NA,541,929
NA,11177,8224,1240,15184,652376,NA,NA,2485,NA,12491,4771,52737,6517,1550,34762,4185,3485,61215,24375,4507,4136,4585,2614,17337,39187,23795,10191,19811,5651,62573,4119,16945,25605,2074,8170,2752,11329,195515,NA,NA,497794,1606,399749,7875,6511,2857,5015,34591,150850,30482,NA,25853,4697,234330,NA,71428,8800,NA,420470,99804,10832,NA,80446,131245,83092,2639430,NA,21830,8382,NA,100775,NA,3283,951071,5977,24929,28402,52736,40597,NA,8056,222875,4371,NA,NA,42418,12747,179937,16297,143564,2781,1249,14882,65049,181906,10058,2606,65273,677072,37623,340118
84130586,27679115,37377233,177695584,157269818,104657,NA,58281936,48388347,21368933,46820557,46127139,62654981,94033324,101098752,33192267,79241832,21065,15395013,72631969,41065533,44880939,50942047,45484914,104970181,47964959,4658368,45225185,54206595,42853072,38305309,35009683,77227742,46218165,80779387,27771514,61000874,101038446,43788,233912342,54030080,NA,4791,98639,63946,103177101,NA,111723049,86162457,NA,32770219,258192186,64589657,47563253,NA,101940259,103705191,23099950,148376374,57146016,340382112,126946551,1183833,NA,60127,89656,420492,1260,45353533,49484217,66454066,241392004,125458933,125862939,NA,50357747,73935430,370,7585,1706698,45758550,28430,9891843,63821343,70303025,37452707,69168763,91787787,140705935,58630315,50934832,35010312,87807589,NA,NA,175745,135008328,25375418,81491227,1945782,29014309,30065929
23551,369583,23452,26617,454986,308310,144118,128507,52060,131960,285299,104207,160664,44604,8509,109459,3727,183747,127967,87853,95215,20089,18568,177061,4118,26359,132935,40010,49105,32234,197233,195372,13418,31617,90721,21515,111796,104061,27356,598896,184454,109932,119562,336615,149563,18852,88260,12263,161376,82518,53868,20056,27446,266752,56561,108579,18383,51233,47001,423240,1056961,239468,99446,94477,329956,1032309,321229,101397,938352,5473,387271,13389,85464,51625,50320,285476,657915,244911,103860,65474,84779,376109,74494,73563,51428,145182,37588,57442,132717,88539,411143,104569,457266,1494993,474268,166721,48014,133795,62428,407113,94288,63186
49682,1147,7697,95439,52093,NA,NA,9432,6371,NA,6840,3451,26350,12829,32361,NA,47328,5844,NA,49814,2237,24500,28154,10185,26709,54356,92254,4454,15900,21578,17086,1213,12351,9586,36664,NA,9113,20258,NA,51811,6163,NA,209638,NA,296677,43285,119934,91127,36028,15370,8705,71235,14994,7995,13094,40526,64045,NA,72453,8276,56024,70358,312053,64686,NA,19503,NA,80525,18794,34370,5907,31056,59043,101186,NA,8694,NA,NA,NA,NA,16030,NA,NA,14431,25942,967,17713,40446,79729,17434,7912,47095,64866,NA,1867,129148,55424,913,18312,NA,2090,NA
2543700,754208,1101197,5404053,4760651,NA,NA,1685524,1390295,587548,1382649,1357436,1904591,2787570,3070852,897431,2382139,NA,422977,2241836,1213704,1323272,1530531,1350248,3180541,1498259,74277,1366240,1663252,1275073,1138452,998065,2284908,1376991,2476352,813234,1761236,2955508,NA,6952949,1616573,NA,NA,NA,NA,3197292,NA,3424393,2592737,NA,957686,7993524,1924535,1394066,NA,3113461,3096470,659668,4567020,1714924,10428225,3828997,NA,NA,NA,NA,NA,NA,1275554,1479412,1906245,7362858,3805291,3893585,NA,1432567,2193883,NA,NA,16203,1382801,NA,272529,1939106,2126105,1053029,2067249,2732156,4316238,1712529,1539410,1017481,2663968,NA,NA,NA,4077236,708333,2452764,13536,811018,854715
991705,319679,401325,2247353,2180652,NA,NA,696007,541421,235695,564874,569956,695163,973929,1158763,326319,936622,NA,129792,771395,394188,485423,582159,508481,1198516,560905,7201,439056,634872,453281,375627,392041,864360,503230,966541,311757,765729,1172542,NA,2829656,580767,NA,NA,NA,NA,1259248,NA,1406614,1025759,NA,362255,3238319,725994,527817,NA,1347315,1333114,198873,1788071,696346,4256937,1596551,NA,NA,NA,NA,NA,NA,501368,562487,636379,3078942,1603273,1545965,NA,606007,911927,688,NA,NA,475889,73,65134,587543,802598,431819,911304,1070668,1771205,660394,535881,385302,871297,NA,NA,NA,1656803,249345,1007654,NA,321831,322977
14995,NA,229,20678,16167,NA,NA,1913,201,NA,218,675,4920,3793,9854,NA,15119,NA,NA,7428,578,705,3281,542,3667,7990,NA,1451,2937,1771,339,112,1638,728,9392,NA,NA,5599,NA,14319,148,NA,NA,NA,NA,12543,NA,17124,9480,NA,230,31483,2215,215,NA,14052,21344,NA,16901,237,32932,12815,NA,NA,NA,NA,NA,NA,NA,4550,672,34525,12237,31783,NA,NA,NA,NA,NA,NA,1245,NA,NA,2555,4284,NA,4726,7548,15200,2767,189,NA,5841,NA,NA,NA,26182,NA,5406,NA,NA,NA
9477,NA,247,17591,14574,NA,NA,2511,1726,NA,165,653,3374,6189,12905,NA,16901,NA,NA,5336,535,609,3888,708,5590,4466,NA,2040,3306,2044,578,125,3227,1632,9138,NA,NA,7449,NA,18292,1258,NA,NA,NA,NA,10082,NA,13947,8490,NA,503,25172,3525,553,NA,8460,23931,NA,17089,1401,37891,11846,NA,NA,NA,NA,NA,NA,NA,6058,1824,34125,10624,19088,NA,1041,NA,NA,NA,NA,985,NA,NA,4890,4193,NA,4800,10287,13005,3628,513,NA,7200,NA,NA,NA,28532,NA,6154,NA,NA,NA
28180004,9714151,11847460,62850548,56022682,4682,NA,19642363,15510510,7732603,16641780,16202220,21624314,28605266,32834932,10657353,24706659,3671,4516566,22520324,13050056,14467422,16764153,14638885,34931741,16041215,1577786,13697132,18531745,13435209,11850217,11870741,23092261,14854380,27153377,9129847,23092557,32718825,NA,80250272,17175991,NA,6733,3217,152107,34570224,1629,38146439,27980917,NA,11292016,88254537,20969036,15891872,NA,37199206,35476176,6969844,49463201,20229734,115812338,45030288,521569,NA,NA,1526,97778,1713,15658620,15640370,19310736,78688378,45169285,41903677,NA,17493741,27698594,NA,NA,576896,14843451,NA,2628130,17703064,23138835,13642857,25107889,29438139,49180535,19138351,16004858,12418817,25168048,NA,NA,43940,45704589,8428835,28285817,665734,10078691,9821666
2109,2511,757,NA,3587,608,NA,1793,1145,1134,2958,1431,1526,1542,662,1529,25,4161,3882,680,1201,335,225,2933,297,641,NA,687,515,991,1771,2208,3285,1456,3251,1518,2876,1551,8,1929,987,1785,NA,2837,449,50,NA,105,2694,NA,616,834,2252,3089,20,2583,65,645,1234,12842,6185,3793,NA,121,1999,12763,3413,2189,4980,13,2235,78,NA,627,24,3228,6184,700,976,527,967,NA,376,443,1431,1950,NA,117,312,203,6121,294,3945,9514,6215,278,NA,377,27,3523,134,6
255860,NA,6066,NA,51258,176831,5466,6932,83972,2064549,127343,NA,224016,56382,26916,224465,22204,135491,74553,71360,153006,45656,25557,51597,4106,33794,42025,29630,46894,56342,39660,156032,47337,81401,52201,28248,32477,713931,500485,999427,90486,95530,66740,700001,12204,3413,1739,NA,NA,30888,26149,7231,100182,26460,73126,149079,17215,146002,798372,22082,2016088,245604,30106,8487,102139,48799,197605,8527,29371,46819,30888,20108,114342,67259,213594,27524,239757,1284,54122,41611,NA,25136,2089,3576,14094,NA,NA,930,NA,1426,56238,30713,1617,9395,55802,92086,NA,NA,83884,252833,231965,54434
143960,518192,NA,378837,26413,89046,NA,17823,92872,58911,1436759,231963,20285,99147,70502,26954,70798,16666,59158,169674,83364,89094,81731,78369,15809,100772,148210,51465,60755,101860,115120,99696,102723,103849,115416,58513,43734,178760,1560,190537,860,21387,6274,68825,56605,149528,298952,92896,306843,5249,76816,201475,114489,22599,38931,52875,124198,134740,82977,110383,81930,557663,19667,4194,526978,344953,208460,NA,1491265,75139,119507,205217,498674,128116,675,357259,2509,28712,151984,664752,113624,358796,176110,159987,178283,201940,989118,173125,16337,140047,237570,219944,455565,205274,33627,100744,925739,433093,846768,14291,297848,1194045
9697,25123,302029,44914,22907,201678,NA,9839,347227,1012639,371030,20062,420586,18109,261003,97895,98418,427964,185001,32112,149087,196753,3191,27676,53617,69402,1679360,7425,81129,20601,132345,52891,149496,49292,184009,47337,526176,224607,515909,266884,103633,1086188,311836,1014898,241907,9951,4412609,130,27084,3697381,318960,853380,138892,137990,42139239,146141,340435,470975,91365,418468,265074,76906,7095,17007736,624884,307113,100372,751764,115675,85519,115143,671655,327,85635,5300783,246646,1168944,229060,106727,80294,2264,1908,89056,10521,146515,3879,86167,21937,649,13983,35022,273234,81536,44869,1713424,23610034,23115,8079,22290,3446137,38609,112795
